,CompanyName:,BusinessintheStateof:,HIOSIssuerID:,MEMBER_MONTHS_INDIVIDUAL:,MEMBER_MONTHS_SMALL_GROUP,EXPECTED_REINSURANCE,EXPECTED_RISK_ADJUSTMENT_INDIVIDUAL,EXPECTED_RISK_ADJUSTMENT_SMALL_GROUP,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),Not-For-Profit:
1207,"Coventry Health Care of the Carolinas, Inc.",South Carolina,41614,306629.0,106103.0,18857060.88,-3828066.52,-68109.07,"$18,857,060.88 ","($3,828,066.52)","($68,109.07)",No
1208,Unified Life Insurance Company,Wyoming,41664,0.0,,0.0,0.0,,,,,No
1209,New York Life Insurance Company,North Carolina,41681,0.0,,,,,,,,No
1210,United Healthcare Life Insurance Company,Washington,41702,0.0,0.0,0.0,0.0,0.0,,,,No
1211,MercyCare Insurance Company,Illinois,41703,,,,,,,,,No
1212,Liberty National Life Insurance Co,Mississippi,41707,,,,,,,,,No
1213,Mid-West National Life Insurance Company of Tennessee,New Hampshire,41752,58.0,1011.0,0.0,0.0,0.0,,,,No
1214,Unimerica Insurance Company,Arizona,41763,0.0,0.0,0.0,0.0,0.0,,,,No
1215,Kanawha Insurance Company ,Arizona,41773,264.0,,,,,,,,No
1216,TransAmerica Premier Life Insurance,Illinois,41774,,,,,,,,,No
1217,"Cigna HealthCare of St Louis, Inc.",Ohio,41779,0.0,0.0,0.0,0.0,0.0,,,,No
1218,Humana Insurance Company,Idaho,41809,,,,,,,,,No
1219,American National Life Insurance Company of Texas,Rhode Island,41815,0.0,,0.0,0.0,,,,,No
1220,UnitedHealthcare Insurance Company,District of Columbia,41842,502.0,91860.0,0.0,-43017.58,-212465.24,N/E,$-,"($255,482.82)",No
1221,Golden Rule Insurance Company,Virginia,41892,205957.0,0.0,0.0,0.0,0.0,,,,No
1222,Consumers Mutual Insurance of Michigan,Michigan,41895,2011.0,19992.0,252541.02,122480.23,-1252756.84,"$252,541.02 ","$122,480.23 ","($1,252,756.84)",No
1223,Cigna Health and Life Insurance Company,Virginia,41921,2.0,4052.0,0.0,0.0,0.0,,,,No
1224,Reliance Standard Life Insurance Company,California,41967,,,,,,,,,No
1225,Mutual of Omaha Insurance Company,Oklahoma,42054,,,,,,,,,No
1226,United Healthcare Life Insurance Company,West Virginia,42066,1243.0,0.0,0.0,0.0,0.0,,,,No
1227,"Humana Health Plan, Inc.",Washington,42074,,,,,,,,,No
1228,"Allegiance Life & Health Insurance Company, Inc.",Montana,42133,182.0,7390.0,,,,,,,No
1229,American Heritage Life Insurance Company,Connecticut,42135,,,,,,,,,No
1230,American National Insurance Company,Kansas,42136,100.0,,0.0,0.0,,,,,No
1231,All Savers Insurance Company,Alabama,42159,0.0,1199.0,0.0,0.0,-2634.74,N/E,$-,"($2,634.74)",No
1232,"Group Health Options, Inc",Idaho,42171,,,,,,,,,No
1233,Reliance Standard Life Insurance Company,Massachusetts,42179,,,,,,,,,No
1234,All Savers Insurance Company,Florida,42204,138.0,43780.0,0.0,0.0,31520.79,N/E,$-,"$31,520.79 ",No
1235,Liberty Mutual Insurance Company,New Hampshire,42206,,,,,,,,,No
1236,Liberty National Life Insurance Co,Georgia,42256,,,,,,,,,No
1237,Time Insurance Company,New Hampshire,42260,45329.0,0.0,6063182.0,5242905.0,0.0,"$6,063,182.46 ","$5,242,904.85 ",$-,No
1238,Time Insurance Company,Washington,42277,77117.0,0.0,4376502.0,789160.0,0.0,"$4,376,501.63 ","$789,160.16 ",$-,No
1239,Wilton Reassurance Company,Arizona,42284,16739.0,,,,,,,,No
1240,WMI Mutual Insurance Company,Nevada,42313,,2665.0,,,-1344.0,,,,No
1241,United Healthcare Life Insurance Company,North Dakota,42370,26.0,0.0,0.0,0.0,0.0,,,,No
1242,Mid-West National Life Insurance Company of Tennessee,Alabama,42371,4974.0,0.0,0.0,0.0,0.0,,,,No
1243,Kanawha Insurance Company ,Illinois,42434,1338.0,,,,,,,,No
1244,"Managed Health Network,  A California Corporation",California,42491,,,,,,,,,No
1245,Philadelphia American Life Insurance Company,Idaho,42496,48.0,,,,,,,,No
1246,"Humana Health Plans of Puerto Rico, Inc.",Puerto Rico,42497,3268.0,3118.0,,,,,,,No
1247,The Guardian Life Insurance Company of America,Alaska,42507,0.0,,,,,,,,No
1248,"Madison National Life Insurance Company, Inc.",North Carolina,42513,1533.0,6265.0,,,,,,,No
1249,UnitedHealthcare of Illinois Inc,Illinois,42529,21.0,40461.0,0.0,0.0,-724765.7,N/E,$-,"($724,765.70)",No
1250,Humana Insurance Company,District of Columbia,42553,,,,,,,,,No
1251,The Prudential Insurance Company of America,New York,42564,,,,,,,,,No
1252,National Foundation Life Insurance Company,Nebraska,42586,60.0,,0.0,0.0,,,,,No
1253,Liberty National Life Insurance Co,Kansas,42628,,,,,,,,,No
1254,The Guardian Life Insurance Company of America,New York,42640,2050.0,,,,,,,,No
1255,Unified Life Insurance Company,West Virginia,42669,24.0,,0.0,0.0,,,,,No
1256,"Blue Cross and Blue Shield of Massachusetts HMO Blue, Inc.",Massachusetts,42690,335415.0,2824026.0,37222783.0,7281616.743,42557403.26,"$37,222,783.00 ",N/A_MA_Issuer,N/A_MA_Issuer,Yes
1257,United Healthcare Life Insurance Company,North Carolina,42754,4085.0,0.0,0.0,0.0,0.0,,,,No
1258,BEST Life and Health Insurance Company,Utah,42757,,,,,,,,,No
1259,American National Insurance Company,Ohio,42761,144.0,,0.0,0.0,,,,,No
1260,American Heritage Life Insurance Company,Nevada,42794,,,,,,,,,No
1261,Time Insurance Company,Maine,42796,2.0,0.0,0.0,0.0,0.0,,,,No
1262,Liberty National Life Insurance Co,District of Columbia,42802,,,,,,,,,No
1263,The Guardian Life Insurance Company of America,Virginia,42808,145.0,,,,,,,,No
1264,Life of America,Texas,42809,116.0,,,,,,,,No
1265,Shelter Life Insurance Company,Arizona,42815,0.0,0.0,0.0,0.0,0.0,,,,No
1266,Reliance Standard Life Insurance Company,New Mexico,42887,,,,,,,,,No
1267,"Sierra Health and Life Insurance Company, Inc.",Illinois,42896,0.0,0.0,0.0,0.0,0.0,,,,No
1268,Standard Security Life Insurance Company of New York,Colorado,42965,199.0,,,,,,,,No
1269,Guarantee Trust Life Insurance Co.,Arkansas,42987,1.0,,,,,,,,No
1270,State Farm Mutual Automobile Insurance Company,Nebraska,43061,1109.0,0.0,0.0,0.0,0.0,,,,No
1271,Central United Life Insurance Company,South Carolina,43062,,,,,,,,,No
1272,United Healthcare Life Insurance Company,Indiana,43070,14040.0,0.0,0.0,0.0,0.0,,,,No
1273,Globe Life and Accident Insurance Co,Texas,43083,,,,,,,,,No
1274,National Foundation Life Insurance Company,Colorado,43105,11834.0,,0.0,0.0,,,,,No
1275,Highmark Health Insurance Company,District of Columbia,43127,,,,,,,,,No
1276,United Healthcare Life Insurance Company,Utah,43129,7350.0,0.0,42356.49,43110.38,0.0,"$42,356.49 ","$43,110.39 ",$-,No
1277,Philadelphia American Life Insurance Company,Virginia,43134,92.0,,,,,,,,No
1278,Mid-West National Life Insurance Company of Tennessee,Nevada,43136,7784.0,0.0,0.0,0.0,0.0,,,,No
1279,CoOportunity Health,Nebraska,43198,319601.0,176495.0,46800412.98,-3258008.03,-3208840.42,"$46,800,412.98 ","($3,258,008.03)","($3,208,840.42)",Yes
1280,American Family Mutual Insurance Company,Nevada,43226,0.0,,,,,,,,No
1281,Trustmark Life Insurance Company,Wyoming,43263,,1192.0,,0.0,0.0,,,,No
1282,FirstCarolinaCare Insurance Company,North Carolina,43283,,68965.0,,,,N/E,$-,$407.05 ,No
1283,United American Insurance Co,Colorado,43334,,,,,,,,,No
1284,Sterling Life Insurance Co.,Idaho,43401,,344.0,,,,,,,No
1285,"Humana Health Plan, Inc.",Indiana,43442,,6121.0,,,-19562.32,N/E,$-,"($19,667.22)",No
1286,Connecticut General Life Insurance Company,Alaska,43459,0.0,0.0,0.0,0.0,0.0,,,,No
1287,Medical Mutual of Ohio,Indiana,43499,0.0,15339.0,0.0,0.0,-265136.19,N/E,$-,"($265,136.19)",No
1288,American National Insurance Company,Wisconsin,43517,0.0,,0.0,0.0,,,,,No
1289,American National Life Insurance Company of Texas,South Dakota,43575,0.0,,0.0,0.0,,,,,No
1290,State Farm Mutual Automobile Insurance Company,Wyoming,43593,489.0,0.0,0.0,0.0,0.0,,,,No
1291,Standard Security Life Insurance Company of New York,Nevada,43618,58.0,310.0,,,,,,,No
1292,State Farm Mutual Automobile Insurance Company,West Virginia,43629,964.0,0.0,0.0,0.0,0.0,,,,No
1293,MCS Life Insurance Company,Puerto Rico,43633,207983.0,472752.0,,,,,,,No
1294,American Family Mutual Insurance Company,South Dakota,43741,840.0,,,,,,,,No
1295,"UnitedHealthcare of Georgia, Inc. ",Georgia,43802,178.0,44914.0,0.0,0.0,-123324.74,N/E,$-,"($123,324.74)",No
1296,UnitedHealthcare Insurance Company,Florida,43839,60049.0,1461398.0,0.0,-6434.88,3851247.76,N/E,$-,"$3,844,812.86 ",No
1297,"UnitedHealthcare of Washington, Inc.",Washington,43861,107.0,8509.0,0.0,-16983.42,24266.99,N/E,$-,"$7,283.57 ",No
1298,New York Life Insurance Company,Alaska,43927,0.0,,,,,,,,No
1299,Union Labor Life Insurance Company,Virginia,43935,,,,,,,,,No
1300,Aetna Life Insurance Company,Alabama,44006,305.0,0.0,0.0,0.0,0.0,,,,No
1301,Celtic Insurance Company,North Carolina,44007,23.0,,0.0,7337.57,,$0.00 ,"$7,337.57 ",$-,No
1302,AMERICAN FIDELITY ASSURANCE COMPANY,Arizona,44008,,,,,,,,,No
1303,Kaiser Permanente Insurance Company,Missouri,44023,,,0.0,0.0,,,,,No
1304,American National Life Insurance Company of Texas,Utah,44040,5337.0,,0.0,0.0,,,,,No
1305,Standard Life and Accident Insurance Company,Arizona,44054,27.0,,0.0,0.0,,,,,No
1306,Reserve National Insurance Company,South Dakota,44069,,,,,,,,,No
1307,"Empire HealthChoice Assurance, Inc.",New York,44113,13522.0,45872.0,0.0,0.0,-2500144.31,N/E,$-,"($2,505,396.90)",No
1308,PacifiCare Life and Health Insurance Co,Oklahoma,44123,122.0,11215.0,0.0,0.0,0.0,,,,No
1309,Kanawha Insurance Company ,New Hampshire,44146,140.0,,,,,,,,No
1310,The Prudential Insurance Company of America,Washington,44153,,,,,,,,,No
1311,Celtic Insurance Company,Wisconsin,44197,24.0,,0.0,-4592.6,,$0.00 ,"($4,592.60)",$-,No
1312,TransAmerica Premier Life Insurance,Texas,44231,,,,,,,,,No
1313,The Prudential Insurance Company of America,Alabama,44234,,,,,,,,,No
1314,Coventry Health & Life Insurance Company,Missouri,44240,1281780.0,469773.0,67069336.47,-15447831.9,308569.39,"$36,558,693.78 ","($16,394,921.63)","$308,569.39 ",No
1315,Mutual of Omaha Insurance Company,Idaho,44259,,,,,,,,,No
1316,Aetna Life Insurance Company,Wyoming,44325,336.0,0.0,0.0,0.0,0.0,,,,No
1317,Philadelphia American Life Insurance Company,Georgia,44329,134.0,24.0,,,,,,,No
1318,Globe Life and Accident Insurance Co,Mississippi,44416,,,,,,,,,No
1319,Thrivent Financial for Lutherans,Indiana,44462,,,,,,,,,No
1320,American Heritage Life Insurance Company,Missouri,44480,,,,,,,,,No
1321,John Alden Life Insurance Company,Colorado,44525,9091.0,0.0,0.0,0.0,0.0,,,,No
1322,Time Insurance Company,Utah,44526,17950.0,0.0,169562.0,105136.0,0.0,"$169,562.38 ","$105,136.13 ",$-,No
1323,Mid-West National Life Insurance Company of Tennessee,Iowa,44541,4260.0,0.0,0.0,0.0,0.0,,,,No
1324,PacifiCare Life and Health Insurance Co,Maryland,44551,0.0,0.0,0.0,0.0,0.0,,,,No
1325,Nationwide Life Insurance Company,Texas,44569,12.0,,,,,,,,No
1326,Humana Insurance Company,Alabama,44580,71319.0,21.0,3343273.21,-983926.61,,"$3,343,273.21 ","($983,926.61)",$-,No
1327,Union Fidelity Life Insurance Company,Nebraska,44597,,,,,,,,,No
1328,Trustmark Insurance Company,Georgia,44639,,,,,,,,,No
1329,"Regence BlueShield of Idaho, Inc.",Idaho,44648,359158.0,308078.0,282450.0,371606.0,1180534.0,"$282,450.45 ","$371,605.98 ","$1,175,263.46 ",Yes
1330,American National Life Insurance Company of Texas,North Carolina,44651,1327.0,,0.0,0.0,,,,,No
1331,Central United Life Insurance Company,Indiana,44688,,,,,,,,,No
1332,The Chesapeake Life Insurance Company,Louisiana,44702,580.0,0.0,0.0,0.0,0.0,,,,No
1333,National Foundation Life Insurance Company,Arkansas,44722,107.0,,0.0,0.0,,,,,No
1334,Kaiser Permanente Insurance Company,South Carolina,44741,,,0.0,0.0,0.0,,,,No
1335,Philadelphia American Life Insurance Company,Ohio,44888,11.0,,,,,,,,No
1336,Trustmark Insurance Company,Virginia,44890,,,,,,,,,No
1337,Federated Mutual Insurance Company,Alabama,44902,0.0,662.0,0.0,0.0,-7318.77,N/E,$-,"($7,318.77)",No
1338,New York Life Insurance Company,Maryland,44939,0.0,,,,,,,,No
1339,Unified Life Insurance Company,Louisiana,44949,0.0,,0.0,0.0,,,,,No
1340,"Humana Health Benefit Plan of Louisiana, Inc.",Louisiana,44965,264141.0,363156.0,7813491.4,482642.43,-119935.54,"$7,813,491.40 ","$482,642.43 ","($119,935.54)",No
1341,Liberty National Life Insurance Co,Florida,44988,,,,,,,,,No
1342,United Healthcare Life Insurance Company,Michigan,45002,28706.0,14.0,1080097.07,-743360.22,-2483.96,"$1,080,097.07 ","($743,360.22)","($2,483.96)",No
1343,Aetna Life Insurance Company,Idaho,45059,60.0,0.0,0.0,0.0,0.0,,,,No
1344,Connecticut General Life Insurance Company,Nevada,45074,57.0,0.0,0.0,0.0,0.0,,,,No
1345,TOWER LIFE INSURANCE CO.,Texas,45076,,,,,,,,,No
1346,Reserve National Insurance Company,Nebraska,45078,,,,,,,,,No
1347,Humana Insurance Company,Oregon,45081,,,,,,,,,No
1348,Nippon Life Insurance Company of America,Texas,45125,,14054.0,,,-24201.27,N/E,$-,"($24,203.08)",No
1349,Capital Advantage Assurance Company,Pennsylvania,45127,112518.0,1178312.0,276428.0,395777.0,5977678.0,"$276,428.37 ","$395,776.73 ","$5,977,678.07 ",No
1350,Thrivent Financial for Lutherans,Oregon,45172,,,,,,,,,No
1351,PacifiCare Life and Health Insurance Co,South Carolina,45237,0.0,0.0,0.0,0.0,0.0,,,,No
1352,John Alden Life Insurance Company,South Dakota,45253,165.0,776.0,0.0,0.0,0.0,,,,No
1353,The Chesapeake Life Insurance Company,New Hampshire,45261,3303.0,0.0,0.0,0.0,0.0,,,,No
1354,AMERICAN FIDELITY ASSURANCE COMPANY,South Carolina,45268,,,,,,,,,No
1355,Union Security Insurance Company,Florida,45345,12.0,0.0,0.0,0.0,0.0,,,,No
1356,New York Life Insurance Company,Missouri,45398,0.0,,,,,,,,No
1357,United Healthcare Life Insurance Company,Pennsylvania,45404,27177.0,0.0,1124049.95,798351.41,0.0,"$1,124,049.95 ","$798,351.41 ",$-,No
1358,Kanawha Insurance Company ,District of Columbia,45405,126.0,,,,,,,,No
1359,The United States Life Ins. Co. in the City of New York,Georgia,45422,12462.0,,,,,,,,No
1360,"UnitedHealthcare of Oklahoma, Inc. ",Oklahoma,45480,48.0,0.0,0.0,0.0,0.0,,,,No
1361,Peach State Health Plan,Georgia,45495,45349.0,,752278.28,-3689629.38,,"$752,278.28 ","($3,689,629.38)",$-,No
1362,New York Life Insurance Company,Minnesota,45514,0.0,,,,,,,,No
1363,Guarantee Trust Life Insurance Co.,Wisconsin,45517,34.0,,,,,,,,No
1364,Time Insurance Company,Mississippi,45521,29792.0,904.0,2150625.0,1041309.0,-54781.0,"$2,150,624.77 ","$1,041,309.44 ","($54,781.44)",No
1365,"CareFirst of Maryland, Inc.",Maryland,45532,844338.0,74785.0,21694659.41,9718734.15,3316016.84,"$21,694,659.41 ","$9,718,734.15 ","$3,249,730.99 ",Yes
1366,The United States Life Ins. Co. in the City of New York,West Virginia,45540,2148.0,,,,,,,,No
1367,WMI Mutual Insurance Company,Montana,45632,,17596.0,,,-23759.0,,,,No
1368,Liberty Mutual Insurance Company,Florida,45682,,,,,,,,,No
1369,The Prudential Insurance Company of America,Hawaii,45731,,,,,,,,,No
1370,Thrivent Financial for Lutherans,Oklahoma,45733,,,,,,,,,No
1371,American Income Life Insurance Co,Ohio,45741,,,,,,,,,No
1372,Liberty Mutual Insurance Company,Illinois,45770,,,,,,,,,No
1373,Molina Healthcare of Texas,Texas,45786,12642.0,,973698.0,723000.0,,"$973,697.67 ","$722,999.82 ",$-,No
1374,Central United Life Insurance Company,Oklahoma,45814,,,,,,,,,No
1375,Providence Health Plan,Washington,45834,,3092.0,,,,,,,Yes
1376,All Savers Insurance Company,Idaho,45842,0.0,0.0,0.0,0.0,0.0,,,,No
1377,"UnitedHealthcare of Ohio, Inc",Kentucky,45920,350.0,25773.0,0.0,0.0,-48790.44,N/E,$-,"($48,790.45)",No
1378,American Income Life Insurance Co,Maryland,45946,,,,,,,,,No
1379,Reliance Standard Life Insurance Company,Michigan,46016,,,,,,,,,No
1380,ACE Property and Casualty Insurance Company,Colorado,46022,,,,,,,,,No
1381,National Foundation Life Insurance Company,Georgia,46093,957.0,,0.0,0.0,,,,,No
1382,United Security Life and Health Ins Co,Illinois,46098,2793.0,,,,,,,,No
1383,Union Security Insurance Company,Utah,46198,0.0,0.0,0.0,0.0,0.0,,,,No
1384,"Community First Health Plans, Inc.",Texas,46224,189.0,184.0,55521.0,88351.0,,"$55,520.90 ","$88,351.39 ",$-,Yes
1385,Unimerica Insurance Company,Minnesota,46226,0.0,0.0,0.0,0.0,0.0,,,,No
1386,Liberty Mutual Insurance Company,Georgia,46273,,,,,,,,,No
1387,"Humana Medical Plan of Michigan, Inc.",Michigan,46275,269299.0,,6808276.09,-25129449.51,,"$6,808,276.09 ","($25,129,449.51)",$-,No
1388,Thrivent Financial for Lutherans,Texas,46284,,,,,,,,,No
1389,United Teachers Associates,Iowa,46288,12.0,,,,,,,,No
1390,Unimerica Insurance Company,Montana,46297,0.0,0.0,0.0,0.0,0.0,,,,No
1391,Golden Rule Insurance Company,North Dakota,46366,0.0,0.0,0.0,0.0,0.0,,,,No
1392,Thrivent Financial for Lutherans,Alaska,46383,,,,,,,,,No
1393,"GOOD HEALTH HMO, INC. d/b/a BLUE CARE, INC.",Kansas,46416,393.0,7843.0,,,,,,,Yes
1394,Union Security Insurance Company,California,46471,0.0,0.0,0.0,0.0,0.0,,,,No
1395,Reliance Standard Life Insurance Company,Mississippi,46476,,,,,,,,,No
1396,Golden Rule Insurance Company,New Jersey,46504,12.0,0.0,0.0,0.0,0.0,,,,No
1397,Connecticut General Life Insurance Company,Tennessee,46553,43145.0,0.0,0.0,0.0,0.0,,,,No
1398,UnitedHealthcare Insurance Company,Montana,46621,48.0,101.0,0.0,0.0,33101.63,N/E,$-,"$33,091.48 ",No
1399,Reserve National Insurance Company,Florida,46632,,,,,,,,,No
1400,Coventry Health & Life Insurance Company,Idaho,46651,3434.0,0.0,0.0,0.0,0.0,,,,No
1401,"AMHIC, A Reciprocal Association",District of Columbia,46675,,16104.0,,,,,,,No
1402,Symetra Life Insurance Company,Texas,46695,,,,,,,,,No
1403,American National Life Insurance Company of Texas,Montana,46701,12.0,,0.0,0.0,,,,,No
1404,"Madison National Life Insurance Company, Inc.",Louisiana,46737,,,,,,,,,No
1405,Reserve National Insurance Company,Montana,46843,,,,,,,,,No
1406,Medical Benefits Mutual Life Insurance Co.,Indiana,46881,,3847.0,,,,,,,No
1407,Blue Cross and Blue Shield of Alabama,Alabama,46944,2190059.0,3172685.0,97314735.0,993113.0,1551403.0,"$97,314,734.65 ","$993,113.39 ","$1,551,403.36 ",Yes
1408,Humana Insurance Company,Utah,46958,418934.0,89646.0,4158821.94,2574546.01,-1107146.32,"$4,158,821.94 ","$2,574,546.01 ","($1,107,146.32)",No
1409,Wilton Reassurance Company,South Carolina,46964,52.0,,,,,,,,No
1410,HM Life Insurance Company,Pennsylvania,47022,,,,,,,,,No
1411,Kanawha Insurance Company ,Mississippi,47052,458.0,,,,,,,,No
1412,Independence American Insurance Company,California,47071,,51.0,,,,,,,No
1413,AMERICAN FIDELITY ASSURANCE COMPANY,South Dakota,47153,,,,,,,,,No
1414,Investors Life Insurance Company of North America,New Hampshire,47203,,,,,,,,,No
1415,American Income Life Insurance Co,Indiana,47282,,,,,,,,,No
1416,American Heritage Life Insurance Company,West Virginia,47299,,,,,,,,,No
1417,Federated Mutual Insurance Company,Nebraska,47340,0.0,27279.0,0.0,0.0,-43990.66,N/E,$-,"($43,990.66)",No
1418,Health Tradition Health Plan,Wisconsin,47342,37196.0,26371.0,4487322.0,-626288.0,-69765.0,"$4,487,321.80 ","($626,288.42)","($69,764.62)",No
1419,AMERICAN FIDELITY ASSURANCE COMPANY,Florida,47358,,,,,,,,,No
1420,Trustmark Insurance Company,Illinois,47383,,,,,,,,,No
1421,Mid-West National Life Insurance Company of Tennessee,New Jersey,47409,216.0,0.0,0.0,0.0,0.0,,,,No
1422,Liberty Mutual Insurance Company,Rhode Island,47477,,,,,,,,,No
1423,BEST Life and Health Insurance Company,Ohio,47509,,,,,,,,,No
1424,Independence American Insurance Company,North Carolina,47529,219.0,80.0,,,,,,,No
1425,Chinese Community Health Plan,California,47579,141014.0,21332.0,1824095.22,-16711278.78,-3067299.341,"$1,824,095.22 ","($16,711,278.79)","($3,067,299.35)",No
1426,AMERICAN FIDELITY ASSURANCE COMPANY,Wyoming,47603,,,,,,,,,No
1427,Central United Life Insurance Company,Tennessee,47645,,,,,,,,,No
1428,BEST Life and Health Insurance Company,Texas,47665,,,,,,,,,No
1429,"Madison National Life Insurance Company, Inc.",Ohio,47691,0.0,2135.0,,,,,,,No
1430,Union Security Insurance Company,Wisconsin,47726,0.0,91.0,0.0,0.0,0.0,,,,No
1431,Standard Life and Accident Insurance Company,North Carolina,47757,199.0,,0.0,0.0,,,,,No
1432,Connecticut General Life Insurance Company,Pennsylvania,47766,42.0,0.0,0.0,0.0,0.0,,,,No
1433,The Prudential Insurance Company of America,Kansas,47767,,,,,,,,,No
1434,"Coventry Health Care of Georgia, Inc.",Georgia,47783,495746.0,791426.0,3255942.16,-3608858.9,2304241.03,"$3,255,942.16 ","($3,608,858.91)","$2,304,241.03 ",No
1435,Central United Life Insurance Company,Pennsylvania,47818,,,,,,,,,No
1436,Freedom Life Insurance Company of America,Wyoming,47823,1665.0,,0.0,-913.0,,$0.00 ,($913.16),$-,No
1437,Symetra Life Insurance Company,New Jersey,47826,,,,,,,,,No
1438,United Teachers Associates,New York,47878,12.0,,,,,,,,No
1439,Companion Life Insurance Company,Kentucky,47890,7886.0,,,,,,,,No
1440,The Guardian Life Insurance Company of America,California,47911,381.0,,,,,,,,No
1441,Trustmark Insurance Company,West Virginia,47912,,,,,,,,,No
1442,Life of America,Mississippi,47944,48.0,,,,,,,,No
1443,Golden Rule Insurance Company,Kentucky,47949,20748.0,0.0,0.0,0.0,0.0,,,,No
