Company Name,State,HIOS ID,MM Individual,MM Small Group,Expected Reinsurance,Expected Risk Adjustment Individual,Expected Risk Adjustment Small Group,Actual Reinsurance,Actual Risk Adjustment Individual,Actual Risk Adjustment Small Group,Nonprofit,Expected Reinsurance Per Member Month,Actual Reinsuance Per Member Month Individual,Expected Risk Adjustment Per Member Month Individual,Actual Risk Adjustment Per Member Month Individual,Expected Risk Adjustment Per Member Month Small Group,Actual Risk Adjustment Per Member Month Small Group,Difference in Reinsurance Per Member Month,Difference in Risk Adjustment Individual Per Member Month,Difference in Risk Adjustment Small Group Per Member Month
"QualChoice Life and Health Insurance Company, Inc.",Arkansas,72740,149251,15283,4993056.46,-2751129.36,-17495.48,,,,No,33.45409049,0,-18.43290403,0,-1.144767389,0,-33.45409049,18.43290403,1.144767389
"Hometown Health Plan, Inc.",Nevada,41094,1279,14567,,-64141,-535963,$0.00 ,"($64,141.23)","($535,962.57)",Yes,0,0,-50.14933542,-50.14951525,-36.79295668,-36.79292716,0,-0.000179828,2.95188E-05
"COMPASS COOPERATIVE MUTUAL HEALTH NETWORK, INC.",Arizona,92045,37735,14475,3283275,-558587,-1913246,"$3,284,983.52 ","($558,586.58)","($1,913,246.31)",Yes,87.0087452,87.054022,-14.80288856,-14.80287743,-132.1758895,-132.1759109,0.045276799,1.11303E-05,-2.14162E-05
Humana Insurance Company,Colorado,79509,87852,14273,1441661.37,434339.78,-95294.25,"$1,442,411.66 ","$664,060.25 ","($95,294.25)",No,16.4101144,16.41865478,4.943994218,7.558851819,-6.67653962,-6.67653962,0.008540386,2.614857601,0
HealthSpan,Ohio,92036,107468,14217,4158176.9,-6743522.63,-471429.58,"$4,160,340.95 ","($6,743,522.63)","($471,429.58)",No,38.69223304,38.71236973,-62.74912188,-62.74912188,-33.15956812,-33.15956812,0.020136692,0,0
Nippon Life Insurance Company of America,Texas,45125,,14183,,,24103.59,N/E,$-,"$24,103.59 ",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,1.699470493,1.699470493,#VALUE!,#VALUE!,0
HMO Minnesota ,Minnesota,57129,93058,14071,3271151,865806,-307685,"$3,272,853.74 ","$865,806.78 ","($307,685.44)",Yes,35.15174407,35.17004169,9.303939479,9.30394786,-21.86660507,-21.86663634,0.018297621,8.38187E-06,-3.127E-05
"UnitedHealthcare of Utah, Inc.",Utah,66413,16,14058,0,-20891.4,191215.79,N/E,$-,"$170,324.39 ",No,0,#VALUE!,-1305.7125,#VALUE!,13.6019199,12.11583369,#VALUE!,#VALUE!,-1.486086214
John Alden Life Insurance Company,Alaska,62637,1050,13952,0,0,607207,N/E,$-,"$607,207.25 ",No,0,#VALUE!,0,#VALUE!,43.52114392,43.52116184,#VALUE!,#VALUE!,1.79186E-05
Pekin Life Insurance Company,Indiana,79828,12,13950,,,-180581,N/E,$-,"($183,612.65)",No,0,#VALUE!,0,#VALUE!,-12.94487455,-13.16219713,#VALUE!,#VALUE!,-0.217322581
"The Health Plan of the Upper Ohio Valley, Inc.",West Virginia,72982,656,13466,11643,-15243,-553884,"$11,649.30 ","($15,242.90)","($553,884.06)",Yes,17.74847561,17.75807927,-23.23628049,-23.23612805,-41.13203624,-41.1320407,0.009603659,0.000152439,-4.45567E-06
US Health and Life Insurance Company,Ohio,49861,,13419,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0
All Savers Insurance Company,Michigan,52670,0,13368,0,0,-116036.56,N/E,$-,"($116,036.56)",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-8.680173549,-8.680173549,#VALUE!,#VALUE!,0
Aetna Life Insurance Company,Indiana,32378,561,12914,0,0,-306401.14,N/E,$-,"($313,624.00)",No,0,#VALUE!,0,#VALUE!,-23.72627691,-24.28558154,#VALUE!,#VALUE!,-0.559304631
Optimum Choice Inc.,District of Columbia,75753,181,12853,0,0,-171150.38,N/E,$-,"($171,150.38)",No,0,#VALUE!,0,#VALUE!,-13.31598693,-13.31598693,#VALUE!,#VALUE!,0
John Alden Life Insurance Company,Wyoming,72208,1938,12664,0,0,599763,N/E,$-,"$599,763.48 ",No,0,#VALUE!,0,#VALUE!,47.35968099,47.35971889,#VALUE!,#VALUE!,3.79027E-05
"UnitedHealthcare of Arkansas, Inc.",Arkansas,65817,18,12604,0,-1394.92,-577168.28,N/E,$-,"($578,563.20)",No,0,#VALUE!,-77.49555556,#VALUE!,-45.79246906,-45.90314186,#VALUE!,#VALUE!,-0.110672802
"UnitedHealthcare Plan of the River Valley, Inc.",Tennessee,35351,130,12383,0,0,0,,,,No,0,0,0,0,0,0,0,0,0
John Alden Life Insurance Company,Arizona,73893,2690,12255,0,0,497885,N/E,$-,"$543,121.99 ",No,0,#VALUE!,0,#VALUE!,40.62709098,44.31839984,#VALUE!,#VALUE!,3.691308854
Time Insurance Company,Idaho,28218,7920,11596,198924,137387,-45008,"$199,027.79 ","$137,386.95 ","($45,007.50)",No,25.11666667,25.12977146,17.34684343,17.34683712,-3.881338393,-3.881295274,0.013104798,-6.31313E-06,4.31183E-05
Aetna Life Insurance Company,North Carolina,61644,16986,11487,651649.37,-715751.32,-157069.07,"$651,988.51 ","($715,751.32)","($157,069.07)",No,38.36390969,38.38387554,-42.13772048,-42.13772048,-13.67363716,-13.67363716,0.019965854,0,0
Coventry Health & Life Insurance Company,Iowa,51820,29,11476,0,0,-13857.81,$0.00 ,$-,"($13,857.81)",No,0,0,0,#VALUE!,-1.207547055,-1.207547055,0,#VALUE!,0
"UnitedHealthcare of Louisiana, Inc.",Louisiana,38499,348378,11302,12762103.4,-16112496.42,-139379.33,"$12,768,745.19 ","($16,112,496.42)","($139,379.33)",No,36.63291999,36.65198488,-46.25003996,-46.25003996,-12.33227128,-12.33227128,0.019064895,0,0
Federated Mutual Insurance Company,Arkansas,89365,0,11220,0,0,65077.18,N/E,$-,"$65,077.18 ",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,5.800105169,5.800105169,#VALUE!,#VALUE!,0
Regence BlueCross BlueShield of Oregon,Washington,71281,52337,11196,2904053,1303075,804796,"$2,905,564.38 ","$1,286,238.74 ","$821,632.25 ",Yes,55.48757093,55.51644878,24.89777786,24.57608843,71.88245802,73.38623169,0.028877849,-0.321689436,1.503773669
Coventry Health & Life Insurance Company,Georgia,65890,0,11063,0,0,-234361.92,N/E,$-,"($233,155.74)",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-21.18430082,-21.07527253,#VALUE!,#VALUE!,0.109028293
"Piedmont Community HealthCare, Inc.",Virginia,15668,27231,11027,1360580,435467,403668,"$1,361,288.18 ","$435,467.30 ","$403,667.61 ",No,49.96437883,49.99038522,15.99159047,15.99160148,36.60723678,36.60720141,0.02600639,1.10169E-05,-3.53677E-05
"Cigna HealthCare of California, Inc.",California,23663,0,10861,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0
Cigna Health and Life Insurance Company,Utah,81808,24,10740,0,0,0,,,,No,0,0,0,0,0,0,0,0,0
"Independent Health Association, Inc",New York,70552,,10715,,,-574088,$0.00 ,$-,"($574,088.49)",Yes,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,-53.5779748,-53.57802053,#DIV/0!,#VALUE!,-4.57303E-05
US Health and Life Insurance Company,Indiana,35755,,10466,,,,N/E,$-,"($150,173.33)",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,0,-14.34868431,#VALUE!,#VALUE!,-14.34868431
Group Health Cooperative of Eau Claire,Wisconsin,16245,6,10324,,,,N/E,$-,"($172,607.47)",Yes,0,#VALUE!,0,#VALUE!,0,-16.71904979,#VALUE!,#VALUE!,-16.71904979
Time Insurance Company,Missouri,14026,134182,10270,3136726,3559222,-166225,"$3,138,358.14 ","$3,559,221.84 ","($166,224.74)",No,23.37665261,23.38881623,26.52533127,26.52533007,-16.18549172,-16.18546641,0.012163629,-1.19241E-06,2.53165E-05
Time Insurance Company,Nevada,29211,122900,10179,13115026,9178691,-712662,"$13,121,851.53 ","$9,178,690.86 ","($712,661.85)",No,106.7129862,106.7685234,74.68422295,74.68422181,-70.01296788,-70.01295314,0.055537266,-1.13914E-06,1.47362E-05
John Alden Life Insurance Company,Ohio,50498,5339,10131,0,0,109425,N/E,$-,"$109,425.34 ",No,0,#VALUE!,0,#VALUE!,10.80100681,10.80104037,#VALUE!,#VALUE!,3.35604E-05
"UnitedHealthcare of Washington, Inc.",Washington,43861,79,10065,0,1407.97,135619.12,N/E,$-,"$137,027.09 ",No,0,#VALUE!,17.82240506,#VALUE!,13.47432886,13.61421659,#VALUE!,#VALUE!,0.13988773
Humana Insurance Company,Georgia,37001,15247,10003,1389389.8,1622203.69,300433.17,"$1,390,112.88 ","$1,622,203.69 ","$308,751.17 ",No,91.12545419,91.1728786,106.3949426,106.3949426,30.03430671,30.86585724,0.047424411,0,0.831550535
Kaiser Permanente Insurance Company,California,27330,,9945,,,765565,N/E,$-,"$765,550.26 ",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,76.97988939,76.97840724,#VALUE!,#VALUE!,-0.001482152
WMI Mutual Insurance Company,Utah,80043,,9541,,,14668.04,N/E,$-,"$14,668.04 ",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,1.537369249,1.537369249,#VALUE!,#VALUE!,0
Aetna Life Insurance Company,Colorado,39041,5187,9524,0,0,0,,,,No,0,0,0,0,0,0,0,0,0
Nevada Health CO-OP,Nevada,34996,214706,9321,8842010,5244158,-711597,"$8,846,611.34 ","$5,244,157.68 ","($711,597.39)",Yes,41.18194182,41.20337271,24.4248321,24.42483061,-76.34341809,-76.34345993,0.021430887,-1.49041E-06,-4.1841E-05
Time Insurance Company,Illinois,67807,117846,9287,3749171,4064523,-25546,"$3,751,122.34 ","$5,250,022.24 ","($25,545.56)",No,31.81415576,31.83071415,34.4901227,44.54985523,-2.750726822,-2.750679444,0.01655839,10.05973253,4.73781E-05
Coventry Health & Life Insurance Company,Nevada,49021,0,9177,0,0,-282676.61,$0.00 ,$-,"($282,676.61)",No,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,-30.80272529,-30.80272529,#DIV/0!,#VALUE!,0
Aetna Health Inc. (a Pennsylvania corporation),Illinois,99129,29,9173,0,0,-313297.56,N/E,$-,"($313,297.56)",No,0,#VALUE!,0,#VALUE!,-34.15431811,-34.15431811,#VALUE!,#VALUE!,0
"AmeriHealth HMO, Inc.",Pennsylvania,39499,,9028,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0
MAMSI Life and Health Insurance Company,Virginia,78971,0,8971,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0
Medical Health Insuring Corporation of Ohio,Ohio,99969,578453,8726,39134653.11,21390181.45,98427.31,"$39,155,019.99 ","$21,390,181.45 ","$98,427.31 ",No,67.65398936,67.68919859,36.97825312,36.97825312,11.27977424,11.27977424,0.035209222,0,0
"UnitedHealthcare of Alabama, Inc",Alabama,68259,233318,8661,7830979.3,-8989541.02,-397175.98,"$7,835,054.79 ","($8,989,541.02)","($397,175.98)",No,33.56354546,33.581013,-38.52913629,-38.52913629,-45.85798176,-45.85798176,0.017467534,0,0
"Moda Health Plan, Inc.",Washington,65907,204794,8352,15986778,6134915,-558679,"$15,995,097.81 ","$6,134,914.63 ","($558,678.76)",No,78.06272645,78.10335171,29.95651728,29.95651547,-66.89164272,-66.89161398,0.040625262,-1.80669E-06,2.87356E-05
"Tufts Associated Health Maintenance Organization, Inc.",Rhode Island,90010,0,8254,0,0,-974466,$0.00 ,$-,"($974,465.99)",Yes,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,-118.0598498,-118.0598486,#DIV/0!,#VALUE!,1.21153E-06
Aetna Health Inc. (a Pennsylvania corporation),Arizona,78611,105,8249,0,0,271801.91,N/E,$-,"$296,497.65 ",No,0,#VALUE!,0,#VALUE!,32.94967996,35.94346587,#VALUE!,#VALUE!,2.993785913
Aetna Life Insurance Company,District of Columbia,77422,7547,8048,26064.57,-254043.24,-335906.75,"$26,078.14 ","($254,043.25)","($335,906.75)",No,3.453633232,3.455431297,-33.66148668,-33.66148801,-41.73791625,-41.73791625,0.001798065,-1.32503E-06,0
"Humana Health Insurance Company of Florida, Inc.",Florida,99308,231548,7886,1206173.54,-2261208.38,-124082.7,"$1,206,801.28 ","($2,261,208.38)","($124,082.70)",No,5.209172785,5.211883843,-9.765613955,-9.765613955,-15.73455491,-15.73455491,0.002711058,0,0
Federated Mutual Insurance Company,South Dakota,64255,0,7785,0,0,-268825.85,N/E,$-,"($268,825.85)",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-34.53125883,-34.53125883,#VALUE!,#VALUE!,0
Cigna Health and Life Insurance Company,California,40025,294886,7695,17577518,5953640,0,"$17,586,666.04 ","$5,953,639.83 ",$-,No,59.60784167,59.63886397,20.1896326,20.18963203,0,#VALUE!,0.031022293,-5.76494E-07,#VALUE!
"Health Alliance Midwest, Inc.",Iowa,77638,,7678,,,-8582,N/E,$-,"($8,581.91)",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-1.117738995,-1.117727273,#VALUE!,#VALUE!,1.17218E-05
John Alden Life Insurance Company,Montana,64206,3055,7651,0,0,264897,N/E,$-,"$264,897.43 ",No,0,#VALUE!,0,#VALUE!,34.622533,34.6225892,#VALUE!,#VALUE!,5.62018E-05
John Alden Life Insurance Company,Illinois,57020,5992,7613,0,0,-167167,N/E,$-,"($167,167.35)",No,0,#VALUE!,0,#VALUE!,-21.95809799,-21.95814396,#VALUE!,#VALUE!,-4.5974E-05
"UnitedHealthcare of Arizona, Inc.",Arizona,40702,171,7592,0,7834.6,-41916.08,N/E,$-,"($34,081.48)",No,0,#VALUE!,45.81637427,#VALUE!,-5.521085353,-4.489130664,#VALUE!,#VALUE!,1.031954689
Cigna Health and Life Insurance Company,Connecticut,87354,7637,7581,949372,1551768,0,"$949,866.36 ","$1,551,767.81 ",$-,No,124.3121645,124.3768967,203.1907817,203.1907568,0,#VALUE!,0.064732225,-2.48789E-05,#VALUE!
Aetna Health Inc. (a Pennsylvania corporation),District of Columbia,73987,0,7469,0,0,-905578.03,N/E,$-,"($905,578.03)",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-121.2448828,-121.2448828,#VALUE!,#VALUE!,0
Aetna Health Inc. (a Pennsylvania corporation),North Carolina,61671,77,7216,0,0,-322190.73,N/E,$-,"($322,190.74)",No,0,#VALUE!,0,#VALUE!,-44.64949141,-44.64949279,#VALUE!,#VALUE!,-1.38581E-06
Aetna Health Inc. (a Maine corporation),Maine,73250,2633,6988,80904.44,-207447.42,-169162.21,"$80,946.55 ","($207,447.42)","($169,162.21)",No,30.72709457,30.74308773,-78.78747436,-78.78747436,-24.20752862,-24.20752862,0.015993164,0,0
"Health First Insurance, Inc.",Florida,77150,18268,6960,649423.12,700760.1,-210737.71,"$649,761.09 ","$700,760.10 ","($210,737.71)",No,35.54976571,35.56826637,38.3599792,38.3599792,-30.27840661,-30.27840661,0.018500657,0,0
Paramount Insurance Company,Michigan,95233,,6850,,,125190,N/E,$-,"$137,653.70 ",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,18.27591241,20.09543066,#VALUE!,#VALUE!,1.819518248
UnitedHealthcare Insurance Company,New Hampshire,51889,20,6801,0,0,-233115.68,N/E,$-,"($233,115.68)",No,0,#VALUE!,0,#VALUE!,-34.27667696,-34.27667696,#VALUE!,#VALUE!,0
"COMPASS COOPERATIVE HEALTH PLAN, INC.",Arizona,60761,525565,6774,7171320,-48452999,-788994,"$7,175,051.81 ","($48,452,998.55)","($788,993.84)",Yes,13.64497255,13.65207312,-92.19221029,-92.19220943,-116.4738707,-116.4738471,0.007100568,8.56221E-07,2.36197E-05
"Minuteman Health, Inc",Massachusetts,73331,56185,6684,349531,-5358558,-754425,"$349,712.48 ",N/A_MA_Issuer,N/A_MA_Issuer,Yes,6.22107324,6.224303284,-95.37346267,#VALUE!,-112.8702873,#VALUE!,0.003230044,#VALUE!,#VALUE!
MetroPlus Health Plan,New York,11177,286497,6620,5188576.67,-30571356.27,-1666323.89,"$5,191,276.87 ","($30,578,616.79)","($1,666,323.89)",No,18.11040489,18.11982977,-106.707422,-106.7327644,-251.7105574,-251.7105574,0.009424881,-0.025342395,0
THP Insurance Company,Ohio,98810,0,6615,0,0,218531,N/E,$-,"$218,531.10 ",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,33.03567649,33.03569161,#VALUE!,#VALUE!,1.51172E-05
Cigna Health and Life Insurance Company,New Jersey,23458,0,6611,0,0,177416,N/E,$-,"$177,415.53 ",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,26.83648465,26.83641355,#VALUE!,#VALUE!,-7.10936E-05
Aetna Life Insurance Company,Kansas,84600,2813,6579,0,0,745826.48,N/E,$-,"$745,826.49 ",No,0,#VALUE!,0,#VALUE!,113.364718,113.3647196,#VALUE!,#VALUE!,1.51999E-06
Humana Insurance Company,Ohio,97596,50883,6566,2366363.09,1602746.25,-114966.92,"$2,367,594.63 ","$1,602,746.25 ","($114,966.92)",No,46.50596643,46.5301698,31.49865869,31.49865869,-17.5094304,-17.5094304,0.024203369,0,0
Southwest Life & Health Insurance Co.,Texas,41549,2897,6502,,,,N/E,$-,"$79,525.12 ",No,0,#VALUE!,0,#VALUE!,0,12.2308705,#VALUE!,#VALUE!,12.2308705
Aetna Health Inc. (a Pennsylvania corporation),Nevada,19298,8373,6474,44569.5,-1143730.02,261732.04,"$44,592.70 ","($1,143,730.03)","$261,732.04 ",No,5.323002508,5.325773319,-136.5973988,-136.5974,40.42818041,40.42818041,0.002770811,-1.19432E-06,0
"Humana Health Plan, Inc.",Nevada,93696,,6414,,,-48965.47,$0.00 ,$-,"($48,965.47)",No,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,-7.634154973,-7.634154973,#DIV/0!,#VALUE!,0
UnitedHealthcare Insurance Company,Connecticut,49650,27086,6305,1988516.54,1157205.95,-289896.82,"$1,989,551.43 ","$1,159,270.36 ","($291,961.23)",No,73.41492062,73.45312818,42.7233977,42.79961456,-45.97887708,-46.30630135,0.038207561,0.076216865,-0.327424266
"UnitedHealthcare Plan of the River Valley, Inc.",Virginia,89498,0,6217,0,0,-539063.52,N/E,$-,"($539,063.52)",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-86.70798134,-86.70798134,#VALUE!,#VALUE!,0
Time Insurance Company,Kentucky,19503,35805,6190,1691901,1187533,-16225,"$1,692,781.90 ","$1,187,533.23 ","($16,224.72)",No,47.25320486,47.27780757,33.16668063,33.16668705,-2.621163166,-2.621117932,0.024602709,6.42368E-06,4.52342E-05
"Health Net Health Plan of Oregon, Inc",Washington,36026,,6174,,,-757463,N/E,$-,"($757,462.93)",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-122.685941,-122.6859297,#VALUE!,#VALUE!,1.13379E-05
"Avera Health Plans, Inc. ",Iowa,74980,1474,6031,273950,394522.62,-22574,"$274,092.10 ","$435,753.94 ","($22,573.51)",No,185.8548168,185.9512212,267.6544233,295.626825,-3.742994528,-3.742913281,0.096404342,27.97240163,8.12469E-05
Nippon Life Insurance Company of America,Ohio,56073,,5935,,,-356412.77,N/E,$-,"($356,412.77)",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-60.05269924,-60.05269924,#VALUE!,#VALUE!,0
John Alden Life Insurance Company,Indiana,95074,6522,5735,0,0,-239105,N/E,$-,"($241,241.52)",No,0,#VALUE!,0,#VALUE!,-41.69224063,-42.06478117,#VALUE!,#VALUE!,-0.372540541
"UnitedHealthcare Plan of the River Valley, Inc.",Illinois,58239,128,5641,0,0,-586082.45,N/E,$-,"($586,082.45)",No,0,#VALUE!,0,#VALUE!,-103.8969066,-103.8969066,#VALUE!,#VALUE!,0
Consumers' Choice Health Insurance Company,South Carolina,65122,810658,5638,36814863,-14555844,-470419,"$36,699,256.40 ","($14,555,844.07)","($470,419.09)",Yes,45.41355664,45.27094829,-17.95559163,-17.95559172,-83.43721178,-83.43722774,-0.14260835,-8.63496E-08,-1.59631E-05
Community Health Alliance Mutual Insurance Company,Tennessee,66842,368678,5495,10327427,-25536301,-35237,"$10,276,444.62 ","($25,536,300.68)","($35,236.69)",Yes,28.01205117,27.87376686,-69.26450995,-69.26450908,-6.41255687,-6.412500455,-0.138284302,8.67966E-07,5.64149E-05
UnitedHealthcare Insurance Company,West Virginia,77060,571,5374,0,0,-100035.49,N/E,$-,"($100,035.49)",No,0,#VALUE!,0,#VALUE!,-18.61471716,-18.61471716,#VALUE!,#VALUE!,0
Aetna Life Insurance Company,Michigan,81068,29548,5359,613289.43,-1395523.23,0,"$613,608.61 ","($1,395,523.24)",$-,No,20.75570022,20.7665023,-47.22902498,-47.22902531,0,#VALUE!,0.010802085,-3.38432E-07,#VALUE!
"Humana Health Plan, Inc.",Indiana,43442,,5118,,,-102658.68,N/E,$-,"($102,658.68)",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-20.05835873,-20.05835873,#VALUE!,#VALUE!,0
Federated Mutual Insurance Company,Mississippi,38420,0,5018,0,0,-75474.34,N/E,$-,"($75,474.34)",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-15.0407214,-15.0407214,#VALUE!,#VALUE!,0
Time Insurance Company,Montana,24867,67694,5008,2892619,1231201,-309928,"$2,894,124.53 ","$1,231,200.88 ","($309,927.67)",No,42.73080332,42.75304355,18.1877419,18.18774012,-61.88658147,-61.88651558,0.022240228,-1.77268E-06,6.58946E-05
John Alden Life Insurance Company,Missouri,49221,7379,4995,0,0,30517,N/E,$-,"$30,517.37 ",No,0,#VALUE!,0,#VALUE!,6.10950951,6.109583584,#VALUE!,#VALUE!,7.40741E-05
Tufts Insurance Company,Rhode Island,26322,0,4962,0,0,965516,N/E,$-,"$965,515.97 ",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,194.5820234,194.5820173,#VALUE!,#VALUE!,-6.04595E-06
Aetna Life Insurance Company,Delaware,29497,23387,4936,983449.96,-1832345.1,-241246.17,"$983,961.77 ","($1,832,345.10)","($241,246.17)",No,42.05113781,42.07302219,-78.34887331,-78.34887331,-48.87483185,-48.87483185,0.02188438,0,0
Coventry Health & Life Insurance Company,Florida,76089,280,4870,0,0,-31756.97,N/E,$-,"($31,756.97)",No,0,#VALUE!,0,#VALUE!,-6.520938398,-6.520938398,#VALUE!,#VALUE!,0
MercyCare Insurance Company,Wisconsin,35334,,4838,0,0,-585670.39,N/E,$-,"($585,670.39)",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-121.0563022,-121.0563022,#VALUE!,#VALUE!,0
Coventry Health & Life Insurance Company,Pennsylvania,16072,3060,4731,0,0,-101341.74,$0.00 ,$-,"($101,341.75)",No,0,0,0,#VALUE!,-21.4207863,-21.42078842,0,#VALUE!,-2.11372E-06
LifeWise Health Plan of Washington,Washington,38498,777909,4679,23266684,-22413845,,"$23,278,792.62 ","($22,413,845.18)",$-,Yes,29.90926188,29.92482748,-28.81293956,-28.81293979,0,#VALUE!,0.0155656,-2.3139E-07,#VALUE!
TransAmerica Premier Life Insurance,New Jersey,54616,,4584,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0
Capital Advantage Insurance Company,Pennsylvania,82795,0,4490,0,0,84422,$0.00 ,$-,"$84,421.79 ",No,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,18.80222717,18.8021804,#DIV/0!,#VALUE!,-4.67706E-05
Aetna Health Inc. (a Pennsylvania corporation),Oklahoma,76275,48,4471,0,0,-184764.7,N/E,$-,"($184,766.55)",No,0,#VALUE!,0,#VALUE!,-41.32513979,-41.32555357,#VALUE!,#VALUE!,-0.000413778
John Alden Life Insurance Company,Nevada,87446,435,4318,0,0,-333229,N/E,$-,"($333,228.58)",No,0,#VALUE!,0,#VALUE!,-77.1720704,-77.17197314,#VALUE!,#VALUE!,9.72673E-05
Nippon Life Insurance Company of America,Indiana,98761,,4215,,,-153115.64,N/E,$-,"($153,115.64)",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-36.32636773,-36.32636773,#VALUE!,#VALUE!,0
Federated Mutual Insurance Company,West Virginia,14414,0,4189,0,0,109960.53,N/E,$-,"$109,960.53 ",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,26.24982812,26.24982812,#VALUE!,#VALUE!,0
Cigna Health and Life Insurance Company,Ohio,91365,0,4144,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0
John Alden Life Insurance Company,Georgia,50313,6138,4070,0,0,123773,N/E,$-,"$123,868.75 ",No,0,#VALUE!,0,#VALUE!,30.41105651,30.43458231,#VALUE!,#VALUE!,0.023525799
National Health Insurance Company,California,64618,,3924,,,-161102,$0.00 ,$-,"($161,102.44)",No,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,-41.05555556,-41.05566769,#DIV/0!,#VALUE!,-0.00011213
Cigna Health and Life Insurance Company,Virginia,41921,0,3912,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0
"HealthAmerica Pennsylvania, Inc.",Pennsylvania,91303,76021,3878,2390670.97,-2527671.53,0,"$2,391,915.15 ","($2,527,671.54)",$-,No,31.44750753,31.4638738,-33.24964852,-33.24964865,0,#VALUE!,0.016366267,-1.31543E-07,#VALUE!
Nippon Life Insurance Company of America,Georgia,12442,,3505,,,128961.93,N/E,$-,"$130,774.07 ",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,36.79370328,37.31071897,#VALUE!,#VALUE!,0.517015692
"Medical Associates Health Plan, Inc",Illinois,24301,,3436,,,-348671,N/E,$-,"($348,670.80)",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-101.475844,-101.4757858,#VALUE!,#VALUE!,5.82072E-05
US Health and Life Insurance Company,Wisconsin,22554,,3434,,,,N/E,$-,"($3,848.16)",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,0,-1.120605708,#VALUE!,#VALUE!,-1.120605708
Kentucky Health Cooperative,Kentucky,77894,623708,3394,35088262,-2353555,-471751,"$35,150,774.64 ","($2,353,554.57)","($471,751.15)",Yes,56.25751473,56.35774215,-3.773488556,-3.773487866,-138.9955804,-138.9956246,0.100227414,6.89425E-07,-4.41956E-05
Montana Health Cooperative,Idaho,38128,216324,3385,7007697,-6390206,-196034,"$7,011,343.81 ","($6,390,206.43)","($196,033.64)",Yes,32.39444999,32.41130808,-29.53997707,-29.53997906,-57.91255539,-57.91244904,0.016858092,-1.98776E-06,0.000106352
John Alden Life Insurance Company,Wisconsin,94720,2435,3302,0,0,44878,N/E,$-,"$44,877.57 ",No,0,#VALUE!,0,#VALUE!,13.59115687,13.59102665,#VALUE!,#VALUE!,-0.000130224
