Company Name,State,HIOS ID,MM Individual,MM Small Group,Expected Reinsurance,Expected Risk Adjustment Individual,Expected Risk Adjustment Small Group,Actual Reinsurance,Actual Risk Adjustment Individual,Actual Risk Adjustment Small Group,Nonprofit,Expected Reinsurance Per Member Month,Actual Reinsurance Per Member Month,Expected Risk Adjustment Per Member Month Individual,Actual Risk Adjustment Per Member Month Individual,Expected Risk Adjustment Per Member Month Small Group,Actual Risk Adjustment Per Member Month Small Group,Difference in Reinsurance Per Member Month,Difference in Risk Adjustment Individual Per Member Month,Difference in Risk Adjustment Small Group Per Member Month
Companion Life Insurance Company,Illinois,20545,339,583,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Optimum Choice Inc.,Delaware,97569,0,581,0,0,-112992.65,N/E,$-,-112992.65,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-194.48,-194.48,#VALUE!,#VALUE!,0.00
"GlobalHealth, Inc.",Oklahoma,85408,13431,574,611301,-1843454,-2525.02,611619.22,N/A_DefaultCharge,N/A_DefaultCharge,No,45.51,45.54,-137.25,#VALUE!,-4.40,#VALUE!,0.02,#VALUE!,#VALUE!
"Cigna HealthCare of Arizona, Inc.",Arizona,97667,3113,570,0,0,-56071,N/E,$-,-56070.83,No,0.00,#VALUE!,0.00,#VALUE!,-98.37,-98.37,#VALUE!,#VALUE!,0.00
Companion Life Insurance Company,Georgia,17382,366,567,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
All Savers Insurance Company,Texas,85947,953930,549,40075658.09,-28130267.1,21102.91,40096514.70,-28130267.10,21102.91,No,42.01,42.03,-29.49,-29.49,38.44,38.44,0.02,0.00,0.00
Time Insurance Company,Minnesota,27439,87919,538,3317916,1018837,-74883,3319642.29,1018837.12,-74883.14,No,37.74,37.76,11.59,11.59,-139.19,-139.19,0.02,0.00,0.00
"Ryder Health Plan, Inc.",Puerto Rico,61423,21101,519,,,,,,,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Optimum Choice Inc.,West Virginia,95628,0,513,0,0,153076.85,N/E,$-,153076.85,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,298.40,298.40,#VALUE!,#VALUE!,0.00
Time Insurance Company,Mississippi,45521,28059,512,1556831,-67176,-113966,1557641.67,-67176.42,-113965.64,No,55.48,55.51,-2.39,-2.39,-222.59,-222.59,0.03,0.00,0.00
"Madison National Life Insurance Company, Inc.",Georgia,16661,,499,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
John Alden Life Insurance Company,Kentucky,33734,916,474,0,0,39912,N/E,$-,39912.04,No,0.00,#VALUE!,0.00,#VALUE!,84.20,84.20,#VALUE!,#VALUE!,0.00
Aetna Life Insurance Company,Arkansas,86597,403,464,0,0,0,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Time Insurance Company,Virginia,50102,54075,454,4359265,4298070,143382,4361533.95,4298069.65,143381.55,No,80.62,80.66,79.48,79.48,315.82,315.82,0.04,0.00,0.00
Humana Insurance Company,California,68744,,439,,,23570.86,N/E,$-,23570.86,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,53.69,53.69,#VALUE!,#VALUE!,0.00
Companion Life Insurance Company,Kansas,86067,105,437,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
John Alden Life Insurance Company,West Virginia,48421,1250,436,0,0,224713,N/E,$-,224713.34,No,0.00,#VALUE!,0.00,#VALUE!,515.40,515.40,#VALUE!,#VALUE!,0.00
WMI Mutual Insurance Company,Arizona,70904,,432,,,-47954.99,N/E,$-,-47954.99,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-111.01,-111.01,#VALUE!,#VALUE!,0.00
Pekin Life Insurance Company,Ohio,37028,,426,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Companion Life Insurance Company,Mississippi,96568,195,426,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United Healthcare Life Insurance Company,Michigan,45002,46145,425,1368996.71,337227.36,-62155.35,1369709.18,358625.01,-62155.35,No,29.67,29.68,7.31,7.77,-146.25,-146.25,0.02,0.46,0.00
Cigna Health and Life Insurance Company,Iowa,77663,0,417,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Companion Life Insurance Company,Louisiana,75321,162,399,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Union Security Insurance Company,Washington,54015,0,377,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Companion Life Insurance Company,Alabama,17017,231,363,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
John Alden Life Insurance Company,Alabama,49771,229,361,0,0,47439,N/E,$-,47439.27,No,0.00,#VALUE!,0.00,#VALUE!,131.41,131.41,#VALUE!,#VALUE!,0.00
Time Insurance Company,Alabama,13939,8015,352,451876,-223260,-18833,452110.79,-223260.20,-18832.66,No,56.38,56.41,-27.86,-27.86,-53.50,-53.50,0.03,0.00,0.00
Time Insurance Company,West Virginia,35992,5818,345,431268,382757,-39195,431491.97,382756.67,-39194.65,No,74.13,74.17,65.79,65.79,-113.61,-113.61,0.04,0.00,0.00
Nippon Life Insurance Company of America,Michigan,59140,,344,,,-45156.26,N/E,$-,-45156.26,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-131.27,-131.27,#VALUE!,#VALUE!,0.00
Companion Life Insurance Company,Tennessee,78859,72,343,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Time Insurance Company,Iowa,68184,36399,331,790041,-244925,-47915,790452.44,-244924.54,-47915.07,No,21.71,21.72,-6.73,-6.73,-144.76,-144.76,0.01,0.00,0.00
Companion Life Insurance Company,North Carolina,36256,42,321,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Companion Life Insurance Company,South Carolina,47973,261,314,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Companion Life Insurance Company,Indiana,72074,288,314,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
All Savers Insurance Company,Arizona,98971,98433,314,4524839.43,2979667.72,23085.14,4527194.30,2979667.72,23085.14,No,45.97,45.99,30.27,30.27,73.52,73.52,0.02,0.00,0.00
Shelter Life Insurance Company,Missouri,20841,192,312,0,0,0,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nippon Life Insurance Company of America,Tennessee,17032,,295,,,8032.52,N/E,$-,8032.52,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,27.23,27.23,#VALUE!,#VALUE!,0.00
Aetna Health Inc. (a Pennsylvania corporation),Indiana,96992,0,291,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
"UnitedHealthcare of the Mid-Atlantic, Inc.",District of Columbia,21066,0,288,0,0,-46276.28,N/E,$-,-46276.28,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-160.68,-160.68,#VALUE!,#VALUE!,0.00
Companion Life Insurance Company,Texas,29817,495,279,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Companion Life Insurance Company,Michigan,26380,114,274,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Companion Life Insurance Company,Florida,21424,855,269,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Minuteman Health, Inc",New Hampshire,61163,92215,269,2114169.44,-10504218.18,,2115269.73,-10494673.57,-46195.18,Yes,22.93,22.94,-113.91,-113.81,0.00,-171.73,0.01,0.10,-171.73
Coventry Health & Life Insurance Company,Arkansas,19871,91,255,0,-15072.7,-41289.01,,,,No,0.00,0.00,-165.63,0.00,-161.92,0.00,0.00,165.63,161.92
Philadelphia American Life Insurance Company,Florida,95495,699,251,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
John Alden Life Insurance Company,Florida,41240,2136,247,0,0,6445,N/E,$-,6445.09,No,0.00,#VALUE!,0.00,#VALUE!,26.09,26.09,#VALUE!,#VALUE!,0.00
UnitedHealthcare Insurance Company,Hawaii,54179,4,243,0,0,-24645.33,N/E,$-,-24645.33,No,0.00,#VALUE!,0.00,#VALUE!,-101.42,-101.42,#VALUE!,#VALUE!,0.00
Companion Life Insurance Company,Nevada,88951,39,241,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Companion Life Insurance Company,Idaho,56800,30,217,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mid-West National Life Insurance Company of Tennessee,New Hampshire,41752,9,211,0,0,0,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Coventry Health Care of Kansas, Inc.",Missouri,37977,0,210,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Aetna Life Insurance Company,Utah,48588,296,208,0,0,-20990.46,N/E,$-,-20990.46,No,0.00,#VALUE!,0.00,#VALUE!,-100.92,-100.92,#VALUE!,#VALUE!,0.00
John Alden Life Insurance Company,Minnesota,56971,4840,204,3607,-93358,-43186,3609.11,-93357.87,-43185.94,No,0.75,0.75,-19.29,-19.29,-211.70,-211.70,0.00,0.00,0.00
"Healthfirst Health Plan, Inc.",New York,83744,,203,,,,N/E,$-,-67696.17,Yes,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,0.00,-333.48,#VALUE!,#VALUE!,-333.48
John Alden Life Insurance Company,Iowa,67580,1768,201,0,0,15838,N/E,$-,39118.81,No,0.00,#VALUE!,0.00,#VALUE!,78.80,194.62,#VALUE!,#VALUE!,115.82
"Cigna HealthCare of New Jersey, Inc.",New Jersey,41014,352,195,645268,817727,48511,645603.45,817727.44,48511.09,No,1833.15,1834.10,2323.09,2323.09,248.77,248.77,0.95,0.00,0.00
Wisconsin Physicians Services Insurance Corporation,Illinois,12659,,189,,,0,,,,Yes,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Crystal Run Health Plan LLC,New York,73886,166,187,7324,-41506,-60517,7327.98,-41505.88,-60517.29,No,44.12,44.14,-250.04,-250.04,-323.62,-323.62,0.02,0.00,0.00
Companion Life Insurance Company,Pennsylvania,61775,468,183,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
National Health Insurance Company,Michigan,90602,,180,,,4310,0.00,$-,4739.35,No,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,23.94,26.33,#DIV/0!,#VALUE!,2.39
All Savers Insurance Company,Louisiana,93653,0,177,0,0,-20620.65,N/E,$-,-20620.65,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-116.50,-116.50,#VALUE!,#VALUE!,0.00
Coventry Health & Life Insurance Company,Mississippi,83808,2953,154,62579.37,-199659.47,-154417.16,62611.94,-199659.48,-154417.17,No,21.19,21.20,-67.61,-67.61,-1002.71,-1002.71,0.01,0.00,0.00
Companion Life Insurance Company,Ohio,91261,225,145,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard Security Life Insurance Company of New York,Ohio,76169,,143,,,-34307.83,N/E,$-,-34299.53,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-239.91,-239.86,#VALUE!,#VALUE!,0.06
Aetna Health Inc. (a Pennsylvania corporation),Kansas,57850,0,140,0,0,-152312.87,N/E,$-,-152312.88,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-1087.95,-1087.95,#VALUE!,#VALUE!,0.00
County of Santa Clara,California,84014,22876,138,505056,-115235,,505318.49,-115235.31,$-,Yes,22.08,22.09,-5.04,-5.04,0.00,#VALUE!,0.01,0.00,#VALUE!
"Humana Health Plan, Inc.",Missouri,73889,,137,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
"Memorial Hermann Health Plan, Inc",Texas,41541,255,132,,-43009,-39452,0.00,-43008.69,-39452.12,No,0.00,0.00,-168.66,-168.66,-298.88,-298.88,0.00,0.00,0.00
Aetna Life Insurance Company,Nebraska,59699,464,132,0,0,0,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ATRIO Health Plans,Oregon,32536,2990,123,59160.57,-163736.68,-28002.5,59191.36,-163736.68,-28002.50,No,19.79,19.80,-54.76,-54.76,-227.66,-227.66,0.01,0.00,0.00
UnitedHealthcare Insurance Company,Idaho,50118,16,120,0,0,-13618.27,N/E,$-,-13618.27,No,0.00,#VALUE!,0.00,#VALUE!,-113.49,-113.49,#VALUE!,#VALUE!,0.00
Nippon Life Insurance Company of America,Illinois,53586,,119,,,-18665.99,N/E,$-,-18665.99,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-156.86,-156.86,#VALUE!,#VALUE!,0.00
"Community First Health Plans, Inc.",Texas,46224,13561,112,598579,694470,,598890.83,694470.34,$-,Yes,44.14,44.16,51.21,51.21,0.00,#VALUE!,0.02,0.00,#VALUE!
"UPMC Health Plan, Inc.",Pennsylvania,52899,2351,112,32872,197264,-5456,32889.28,197264.42,-5456.23,Yes,13.98,13.99,83.91,83.91,-48.71,-48.72,0.01,0.00,0.00
Companion Life Insurance Company,Arizona,20128,192,108,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Humana Insurance Company of Kentucky, Inc. ",Kentucky,21220,12,108,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Cigna HealthCare of Florida, Inc.",Florida,79850,157,102,0,0,0,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard Security Life Insurance Company of New York,Arizona,59096,,99,,,-5154.87,N/E,$-,-5153.41,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-52.07,-52.05,#VALUE!,#VALUE!,0.01
Companion Life Insurance Company,Utah,13529,3,90,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Madison National Life Insurance Company, Inc.",Arizona,23029,,84,,,-9942.8,N/E,$-,-9938.88,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-118.37,-118.32,#VALUE!,#VALUE!,0.05
UnitedHealthcare Insurance Company,Montana,46621,52,78,0,0,9085.52,N/E,$-,9085.52,No,0.00,#VALUE!,0.00,#VALUE!,116.48,116.48,#VALUE!,#VALUE!,0.00
"Indiana University Health Plans, Inc.",Indiana,33380,9312,77,396734.18,79692.27,,396940.65,79692.27,$-,No,42.60,42.63,8.56,8.56,0.00,#VALUE!,0.02,0.00,#VALUE!
"Cigna HealthCare of Georgia, Inc.",Georgia,15105,0,70,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Companion Life Insurance Company,Colorado,38283,135,64,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Madison National Life Insurance Company, Inc.",Montana,49669,,63,,,-10804.61,N/E,$-,-10799.68,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-171.50,-171.42,#VALUE!,#VALUE!,0.08
Trillium Community Health Plan,Oregon,95417,213,63,0,-29917.47,-10819.44,0.00,-29917.47,-10819.44,No,0.00,0.00,-140.46,-140.46,-171.74,-171.74,0.00,0.00,0.00
MVP Health Insurance Company,New York,61719,,61,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Companion Life Insurance Company,Oklahoma,17595,129,60,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Health Alliance Midwest, Inc.",Nebraska,77931,74,60,35910,14478,-8135,35928.95,14477.63,-8134.69,No,485.27,485.53,195.65,195.64,-135.58,-135.58,0.26,-0.01,0.01
"Cigna HealthCare of Tennessee, Inc.",Tennessee,94926,14,53,0,0,0,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Connecticut General Life Insurance Company,Vermont,50038,0,52,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
"ACN Group of California, Inc.",California,78053,0,50,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Mid-West National Life Insurance Company of Tennessee,Massachusetts,25532,7,48,0,0,0,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Time Insurance Company,Delaware,97889,2948,43,101849,40682,-10832,101901.86,40682.47,-10832.08,No,34.55,34.57,13.80,13.80,-251.91,-251.91,0.02,0.00,0.00
Medica Insurance Company,South Dakota,96594,0,36,,,-9930.72,N/E,$-,-9930.72,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-275.85,-275.85,#VALUE!,#VALUE!,0.00
Mid-West National Life Insurance Company of Tennessee,Connecticut,51100,586,33,0,0,0,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aetna Life Insurance Company,Idaho,45059,13,31,0,0,18122.94,N/E,$-,18122.94,No,0.00,#VALUE!,0.00,#VALUE!,584.61,584.61,#VALUE!,#VALUE!,0.00
Companion Life Insurance Company,Iowa,77847,45,30,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Companion Life Insurance Company,Kentucky,47890,84,27,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United Healthcare Life Insurance Company,Alabama,59809,7077,26,147985.51,-805865.4,2012.29,148062.53,-805865.40,2012.29,No,20.91,20.92,-113.87,-113.87,77.40,77.40,0.01,0.00,0.00
Aetna Health Inc. (a Pennsylvania corporation),Massachusetts,38917,0,25,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Philadelphia American Life Insurance Company,Georgia,44329,96,24,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Madison National Life Insurance Company, Inc.",Illinois,59311,,18,,,-3430.17,N/E,$-,-3428.71,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-190.57,-190.48,#VALUE!,#VALUE!,0.08
John Alden Life Insurance Company,Delaware,78960,279,18,0,0,-5432,N/E,$-,-5432.47,No,0.00,#VALUE!,0.00,#VALUE!,-301.78,-301.80,#VALUE!,#VALUE!,-0.03
Standard Security Life Insurance Company of New York,Missouri,12363,,17,,,-4619.2,N/E,$-,-4617.80,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-271.72,-271.64,#VALUE!,#VALUE!,0.08
UnitedHealthcare Insurance Company,Illinois,13947,2737,15,0,0,0,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Companion Life Insurance Company,Montana,59110,9,15,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aetna Health Inc. (a Pennsylvania corporation),Colorado,39670,0,13,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Philadelphia American Life Insurance Company,Pennsylvania,11663,534,12,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Humana Insurance Company,North Carolina,32237,28992,12,292878.17,-520970.75,,293030.60,-520970.75,$-,No,10.10,10.11,-17.97,-17.97,0.00,#VALUE!,0.01,0.00,#VALUE!
Emphesys Insurance Company,Arizona,55221,,12,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Mid-West National Life Insurance Company of Tennessee,Kentucky,69367,0,12,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Aetna Health Inc. (a Pennsylvania corporation),Missouri,32898,0,11,0,0,-7377.37,N/E,$-,-7377.38,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-670.67,-670.67,#VALUE!,#VALUE!,0.00
"Coventry Health Care of Kansas, Inc.",Oklahoma,76668,458,9,0,-49609.47,4087.06,0.00,-49715.88,4087.06,No,0.00,0.00,-108.32,-108.55,454.12,454.12,0.00,-0.23,0.00
Mid-West National Life Insurance Company of Tennessee,Texas,91412,10499,9,0,0,0,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
All Savers Insurance Company,Kentucky,77029,0,4,0,0,-49.32,N/E,$-,-49.32,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-12.33,-12.33,#VALUE!,#VALUE!,0.00
Companion Life Insurance Company,District of Columbia,86532,15,4,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mid-West National Life Insurance Company of Tennessee,Tennessee,10255,2323,3,0,0,0,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mid-West National Life Insurance Company of Tennessee,North Carolina,62512,3880,3,0,0,0,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Union Security Insurance Company,Texas,10055,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Connecticut General Life Insurance Company,Nebraska,10161,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
State Farm Mutual Automobile Insurance Company,North Dakota,10751,376,0,0,0,0,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Union Security Insurance Company,Arkansas,10754,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Trustmark Life Insurance Company,Nevada,11015,0,0,,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Union Security Insurance Company,Nevada,11262,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
State Farm Mutual Automobile Insurance Company,Arkansas,11343,881,0,0,0,0,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
New Health Ventures Inc,Colorado,11555,4585,0,389660.27,116319.32,0,389863.07,173278.24,$-,No,84.99,85.03,25.37,37.79,#DIV/0!,#VALUE!,0.04,12.42,#VALUE!
State Farm Mutual Automobile Insurance Company,Colorado,11613,1489,0,0,0,0,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Connecticut General Life Insurance Company,District of Columbia,11618,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Shelter Life Insurance Company,South Carolina,11722,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New York Life Insurance Company,Indiana,12595,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Connecticut General Life Insurance Company,Oklahoma,12693,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United Healthcare Life Insurance Company,California,12799,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
State Farm Mutual Automobile Insurance Company,Wisconsin,12844,795,0,0,0,0,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Time Insurance Company,Rhode Island,12877,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
State Farm Mutual Automobile Insurance Company,Florida,12910,2208,0,0,0,0,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Time Insurance Company,New York,13039,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Cigna Health and Life Insurance Company,Pennsylvania,13401,12,0,0,0,0,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Coventry Health & Life Insurance Company,Delaware,13537,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Time Insurance Company,New Jersey,13574,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Trustmark Life Insurance Company,Arizona,13647,0,0,,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Connecticut General Life Insurance Company,Kansas,13833,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United Healthcare Life Insurance Company,Missouri,14162,100794,0,3674807.14,1543008.5,0,3675197.04,1543008.50,$-,No,36.46,36.46,15.31,15.31,#DIV/0!,#VALUE!,0.00,0.00,#VALUE!
Connecticut General Life Insurance Company,Florida,14345,551337,0,0,0,0,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Connecticut General Life Insurance Company,Maryland,14536,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Cigna HealthCare of Indiana, Inc.",Indiana,14808,7,0,0,0,0,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Union Security Insurance Company,West Virginia,15012,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
